Country Name,Country Code,GDP 2020
Sweden,SWE,52259.29738
Eswatini,SWZ,3415.459446
Seychelles,SYC,11425.09293
Turks and Caicos Islands,TCA,23879.92665
Chad,TCD,614.4651899
East Asia & Pacific (IDA & IBRD countries),TEA,8378.63094
Europe & Central Asia (IDA & IBRD countries),TEC,8368.476616
Togo,TGO,914.9505826
Thailand,THA,7189.041835
Tajikistan,TJK,859.1379611
Latin America & the Caribbean (IDA & IBRD countries),TLA,7026.635943
Timor-Leste,TLS,1381.17566
Middle East & North Africa (IDA & IBRD countries),TMN,2938.378024
South Asia (IDA & IBRD),TSA,1804.917623
Sub-Saharan Africa (IDA & IBRD countries),TSS,1485.500194
Trinidad and Tobago,TTO,15384.03946
Tunisia,TUN,3319.819024
Turkey,TUR,8538.16906
Tuvalu,TUV,4143.109753
Tanzania,TZA,1076.470385
Uganda,UGA,817.0357569
Ukraine,UKR,3726.927149
Upper middle income,UMC,9191.680733
Uruguay,URY,15438.41167
United States,USA,63543.57779
Uzbekistan,UZB,1685.764947
St. Vincent and the Grenadines,VCT,7297.91235
Vietnam,VNM,2785.724157
Vanuatu,VUT,2782.98434
World,WLD,10909.28705
Samoa,WSM,4067.47263
Kosovo,XKX,4287.200903
South Africa,ZAF,5090.715025
Zambia,ZMB,1050.919283
Zimbabwe,ZWE,1128.210711
